learner_id,course_id,completion_rate,time_spent_hours,rating,action_completee,entreprise_lancee
L0001,CRS008,0.86,1.6,4,non,non
L0001,CRS019,0.54,2.6,4,non,non
L0001,CRS025,0.47,1.6,1,non,non
L0001,CRS001,0.43,1.5,4,non,non
L0001,CRS003,0.05,0.2,1,non,oui
L0001,CRS002,0.73,3.7,3,non,non
L0001,CRS023,0.19,0.7,4,non,non
L0001,CRS021,0.46,2.5,1,non,non
L0001,CRS020,0.86,3.4,3,oui,non
L0002,CRS003,0.93,4.9,4,oui,non
L0003,CRS002,0.29,1.3,4,non,non
L0003,CRS006,0.3,1.8,1,non,non
L0003,CRS013,0.06,0.2,2,non,oui
L0003,CRS001,0.51,2.7,1,non,non
L0003,CRS023,0.68,1.7,1,non,non
L0003,CRS009,0.57,2.3,1,non,non
L0003,CRS015,0.42,1.7,3,non,non
L0004,CRS022,0.27,0.6,3,non,non
L0004,CRS023,0.93,5.3,3,oui,non
L0004,CRS011,1.0,1.8,4,oui,non
L0004,CRS008,0.35,0.6,2,non,non
L0005,CRS015,0.3,1.8,1,non,non
L0005,CRS018,0.55,3.1,1,non,non
L0005,CRS023,0.13,0.3,1,non,non
L0006,CRS009,0.21,0.6,3,non,non
L0006,CRS010,0.25,1.4,1,non,non
L0006,CRS020,0.42,1.2,1,non,non
L0007,CRS021,0.74,2.9,5,non,non
L0007,CRS009,0.11,0.6,2,non,non
L0007,CRS006,0.83,3.4,4,oui,oui
L0008,CRS002,0.35,1.4,4,non,non
L0008,CRS012,0.75,4.2,4,non,non
L0008,CRS007,0.98,5.0,5,non,non
L0008,CRS022,0.33,1.9,2,non,non
L0008,CRS008,0.79,1.6,3,non,non
L0008,CRS004,0.22,1.1,4,non,non
L0009,CRS008,0.4,1.1,1,non,non
L0009,CRS001,0.28,1.2,4,non,non
L0009,CRS022,0.84,2.5,3,non,non
L0009,CRS007,0.18,1.0,3,non,oui
L0010,CRS014,0.04,0.1,2,non,non
L0010,CRS012,0.07,0.3,3,non,non
L0010,CRS011,0.66,1.4,3,non,non
L0010,CRS025,0.67,2.0,3,non,non
L0010,CRS020,0.19,0.9,4,non,non
L0010,CRS017,0.9,3.8,4,oui,non
L0010,CRS004,0.3,0.7,3,non,non
L0010,CRS013,0.44,1.1,4,non,non
L0010,CRS007,0.96,4.6,3,non,non
L0010,CRS009,0.62,1.2,2,non,non
L0011,CRS007,0.24,0.9,1,non,non
L0011,CRS005,0.89,3.6,5,oui,non
L0011,CRS001,0.66,1.0,1,non,non
L0011,CRS002,0.22,1.1,4,non,oui
L0012,CRS004,0.53,2.1,3,non,non
L0012,CRS015,0.89,3.8,5,oui,non
L0012,CRS005,0.45,1.0,4,non,non
L0012,CRS022,0.75,4.0,4,non,non
L0013,CRS016,0.34,1.9,1,non,non
L0013,CRS021,0.23,1.1,2,non,oui
L0013,CRS008,0.41,1.6,4,non,oui
L0013,CRS009,0.83,2.7,5,oui,oui
L0013,CRS015,0.88,3.6,5,non,non
L0013,CRS003,0.75,4.0,5,non,non
L0013,CRS010,0.73,3.7,4,non,non
L0013,CRS023,0.27,1.0,4,non,non
L0013,CRS022,0.68,2.3,2,non,non
L0014,CRS020,0.91,3.8,3,non,non
L0014,CRS018,0.87,2.0,4,non,non
L0014,CRS001,0.33,1.6,4,non,non
L0015,CRS009,0.22,0.4,1,non,non
L0015,CRS003,0.95,2.3,3,oui,non
L0015,CRS016,0.47,0.9,2,non,non
L0015,CRS001,0.26,0.8,1,non,non
L0015,CRS018,0.16,0.5,1,non,non
L0015,CRS002,0.58,3.2,4,non,non
L0015,CRS012,0.72,1.3,4,non,non
L0016,CRS022,0.35,1.2,3,non,oui
L0016,CRS020,0.65,1.0,4,non,non
L0016,CRS004,0.11,0.6,4,non,non
L0016,CRS019,0.44,2.1,3,non,non
L0016,CRS002,0.92,4.6,5,oui,non
L0017,CRS011,0.24,0.9,4,non,non
L0017,CRS008,0.49,1.5,4,non,non
L0017,CRS003,0.8,2.4,5,non,non
L0017,CRS009,0.28,0.4,2,non,non
L0017,CRS015,0.72,2.7,4,non,non
L0018,CRS023,0.58,2.1,3,non,non
